Region,Country,Rep,Location,StationID
Asia,China,CHN,Nei Mongol Bairin Zuo Qi,540270
Asia,China,CHN,Nei Mongol Bayan Mod,524950
Asia,China,CHN,Nei Mongol Bugt,506320
Asia,China,CHN,Nei Mongol Chifeng,542180
Asia,China,CHN,Nei Mongol Dong Ujimqin Qi,509150
Asia,China,CHN,Nei Mongol Dongsheng,535430
Asia,China,CHN,Nei Mongol Duolun,542080
Asia,China,CHN,Nei Mongol Ejin Qi,522670
Asia,China,CHN,Nei Mongol Erenhot,530680
Asia,China,CHN,Nei Mongol Hailar,505270
Asia,China,CHN,Nei Mongol Hailisu,532310
Asia,China,CHN,Nei Mongol Haliut,533360
Asia,China,CHN,Nei Mongol Hohhot,534630
Asia,China,CHN,Nei Mongol Huade,533910
Asia,China,CHN,Nei Mongol Jartai,535020
Asia,China,CHN,Nei Mongol Jarud Qi,540260
Asia,China,CHN,Nei Mongol Jurh,532760
Asia,China,CHN,Nei Mongol Kailu,541340
Asia,China,CHN,Nei Mongol Linxi,541150
Asia,China,CHN,Nei Mongol Manzhouli,505140
Asia,China,CHN,Nei Mongol Otog Qi,535290
Asia,China,CHN,Nei Mongol Solon,508340
Asia,China,CHN,Nei Mongol Tongliao,541350
Asia,China,CHN,Nei Mongol Tulihe,504340
Asia,China,CHN,Nei Mongol Xi Ujimqin Qi,540120
Asia,China,CHN,Nei Mongol Xilinhot,541020
Asia,China,CHN,Ningxia Hui Guyuan,538170
Asia,China,CHN,Ningxia Hui Yanchi,537230
Asia,China,CHN,Ningxia Hui Yinchuan,536140
Asia,China,CHN,Qinghai Daqaidam,527130
Asia,China,CHN,Qinghai Darlag,560460
Asia,China,CHN,Qinghai Dulan Us,528360
Asia,China,CHN,Qinghai Gangca,527540
Asia,China,CHN,Qinghai Golmud,528180
Asia,China,CHN,Qinghai Haixi Delingha,527370
Asia,China,CHN,Qinghai Lenghu,526020
Asia,China,CHN,Qinghai Madoi,560330
Asia,China,CHN,Qinghai Mangnai,518860
Asia,China,CHN,Qinghai Minhe,528760
Asia,China,CHN,Qinghai Nangqen,561250
Asia,China,CHN,Qinghai Qumarleb,560210
Asia,China,CHN,Qinghai Tuotuohe,560040
Asia,China,CHN,Qinghai Xinghai,529430
Asia,China,CHN,Qinghai Xining,528660
Asia,China,CHN,Qinghai Yushu,560290
Asia,China,CHN,Shaanxi Ankang,572450
Asia,China,CHN,Shaanxi Baoji,570160
Asia,China,CHN,Shaanxi Dingbian,537250
Asia,China,CHN,Shaanxi Hanzhong,571270
Asia,China,CHN,Shaanxi Luochuan,539420
Asia,China,CHN,Shaanxi Suide,537540
Asia,China,CHN,Shaanxi Xian,570360
Asia,China,CHN,Shaanxi Yanan,538450
Asia,China,CHN,Shaanxi Yulin,536460
Asia,China,CHN,Shandong Chaoyang,548080
Asia,China,CHN,Shandong Chengshantou,547760
Asia,China,CHN,Shandong Huimin Xian,547250
Asia,China,CHN,Shandong Jinan,548230
Asia,China,CHN,Shandong Juxian,549360
Asia,China,CHN,Shandong Longkou,547530
Asia,China,CHN,Shandong Weifang,548430
