Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,outbreak,lat,lng,education level,national flights,international flights,Mean_Weather
El Salvador,4126.15,4126.15,6486.201,313.041,0.0,0.0,False,13.692614285714287,-88.89231428571429,29.168479919433604,6.0,898.0,27.670833333333338
France,42643.95,42643.95,65273.512,119.209,4.5,6.0,False,46.718444827586175,2.612991379310344,62.1468696594238,72.0,241.0,8.022809667673721
Germany,47992.32,47992.32,83783.945,240.372,8.9375,12.0,True,51.07180689655171,9.940479310344827,61.0564193725586,99.0,784.0,5.626530612244893
Ghana,2266.41,2266.41,31072.945,136.56,0.0,0.0,False,7.501056521739132,-1.1295043478260869,14.3049898147583,0.0,364.0,29.094915254237286
Greece,20845.32,20845.32,10423.056,80.862,0.0,0.0,False,38.67224516129032,23.68586129032258,110.16268157959,963.0,958.0,9.114999999999993
Guatemala,4807.55,4807.55,17915.567,167.185,0.0,0.0,False,15.032707692307694,-90.46517307692307,18.325839996337894,2.0,563.0,22.28874999999999
Honduras,2593.93,2593.93,9904.608,88.521,0.0,0.0,False,14.804160000000001,-87.161835,21.2045593261719,28.0,219.0,26.388699360341153
Hong Kong SAR,50460.39,50460.39,7496.988,7139.9890000000005,9.615384615384617,17.0,True,22.305,114.185,67.2759170532227,1.0,6337.0,18.7
Hungary,18535.15,18535.15,9660.35,106.709,0.0,0.0,False,47.15880416666665,19.046462499999997,57.01671981811521,0.0,548.0,2.223333333333333
India,2338.12,2338.12,1380004.385,464.149,1.8333333333333333,3.0,False,21.680076886792445,79.27441981132075,23.8901100158691,14523.0,4840.0,20.40135869565217
Israel,44474.07,44474.07,8655.541,399.97900000000004,0.0,0.0,False,32.09158333333333,34.99146666666667,66.2765426635742,7.0,1073.0,14.945000000000002
Italy,33431.25,33431.25,60461.828,205.555,2.0,2.0,False,42.36766428571429,12.728869642857143,63.4550704956055,227.0,626.0,8.886644046884621
Japan,43043.42,43043.42,126476.45800000001,346.934,9.785714285714286,22.0,True,36.39277466666667,136.92627866666663,62.4116287231445,356.0,7755.0,6.74050880626223
Kazakhstan,9672.0,9672.0,18776.707,6.955,0.0,0.0,False,48.332630208333335,68.39428750000002,50.130550384521506,0.0,38.0,-8.795000000000003
Kuwait,28882.72,28882.72,4270.563,239.65,0.0,0.0,False,29.261366666666664,47.90673333333333,27.0270500183105,0.0,1707.0,15.60999999999999
Lithuania,20355.0,20355.0,2722.2909999999997,43.43600000000001,0.0,0.0,False,55.31003518518518,23.706761111111106,71.9697036743164,0.0,256.0,2.288333333333333
Madagascar,490.906,490.906,27691.019,47.596000000000004,0.0,0.0,False,-18.730978571428572,46.919575,4.24579000473022,0.0,72.0,21.483333333333334
Malaysia,11484.51,11484.51,32365.998,98.512,6.545454545454546,10.0,False,4.009121212121212,105.41567878787878,38.5328216552734,3607.0,6191.0,27.78104265402843
Mexico,10405.79,10405.79,128932.75300000001,66.325,0.0,0.0,False,22.471223936170194,-101.1142872340425,29.2085800170898,9399.0,6367.0,26.591666666666665
Mongolia,4363.9,4363.9,3278.292,2.11,0.0,0.0,False,47.47981851851852,103.65298888888891,62.24863052368161,0.0,124.0,-23.32583333333334
Morocco,3464.02,3464.02,36910.558,82.70299999999999,0.0,0.0,False,32.93327619047619,-6.9378761904761905,22.4666805267334,26.0,468.0,12.671666666666669
Nepal,1176.58,1176.58,29136.807999999997,203.25599999999997,1.0,1.0,False,27.819680952380956,83.9727,16.928150177002,0.0,535.0,13.073076923076922
New Zealand,42084.4,42084.4,4822.233,18.314,0.0,0.0,False,-40.61379215686275,166.8252980392157,79.7142868041992,1164.0,62.0,17.470757575757577
Pakistan,0.0,0.0,220892.331,286.546,0.0,0.0,False,30.887263414634152,71.04719999999999,10.370380401611301,624.0,1006.0,20.435000000000002
Philippines,3484.9,3484.9,109581.085,367.51199999999994,1.5,2.0,False,12.083664406779668,122.70293728813559,33.613029479980504,3718.0,3591.0,27.11833333333334
Poland,15988.04,15988.04,37846.605,123.589,0.0,0.0,False,52.308342307692314,18.912880769230767,71.15869140625,0.0,347.0,2.793133696309744
Puerto Rico,32100.4,32100.4,2860.84,322.53,0.0,0.0,False,18.248415517241376,-66.33582241379314,85.3358383178711,9.0,1766.0,25.667777777777776
Romania,13414.49,13414.49,19237.682,83.58,0.0,0.0,False,45.75772857142856,25.11367142857143,52.168140411377,378.0,658.0,2.7733333333333356
Saudi Arabia,22533.26,22533.26,34813.867,16.195,0.0,0.0,False,24.598025000000003,43.394856250000004,54.881561279296896,3566.0,4213.0,17.053658536585367
Singapore,64829.22,64829.22,5850.343000000001,8357.633,9.923076923076923,24.0,True,1.2930000000000001,103.8558,6.47805976867676,13.0,6296.0,27.84166666666666
South Africa,6193.17,6193.17,59308.69,48.891000000000005,0.0,0.0,False,-29.36146805555555,25.863194444444446,19.66282081604,4363.0,1276.0,20.61
Sri Lanka,4152.21,4152.21,21413.25,341.465,1.0,1.0,False,7.518426666666667,80.4328,18.9372501373291,44.0,983.0,25.99500000000001
Taiwan,25525.81,25525.81,23816.775,672.6,6.642857142857142,11.0,True,24.235818518518517,120.75831111111111,30.1620693206787,0.0,5820.0,18.44516129032258
Thailand,8193.82,8193.82,69799.978,136.624,12.571428571428573,25.0,True,14.083065476190484,101.01313571428574,51.3787994384766,3867.0,3928.0,28.987096774193553
Tunisia,3327.72,3327.72,11818.618,76.072,0.0,0.0,False,35.243044444444436,9.960544444444443,34.1435317993164,29.0,301.0,13.471666666666668
Turkey,9683.57,9683.57,84339.067,109.584,0.0,0.0,False,39.19601868131868,35.083489010989005,78.98194885253909,956.0,1098.0,5.319205298013247
Ukraine,3881.66,3881.66,43733.759000000005,75.492,0.0,0.0,False,48.85016078431371,31.66313333333332,80.07086181640629,280.0,830.0,2.1349999999999993
United Arab Emirates,37375.27,37375.27,9890.4,118.306,4.428571428571429,5.0,False,25.14805,55.511062499999994,19.1907691955566,1.0,3322.0,20.391666666666666
United Kingdom,40391.84,40391.84,67886.004,280.60200000000003,2.0,2.0,False,53.149117105263144,-2.3355057017543865,56.8701286315918,732.0,320.0,6.299503722084369
United States,67426.84,67426.84,331002.647,36.185,1.2802197802197801,2.0,False,38.25540915665928,-90.16549383187765,88.8085708618164,214291.0,24011.0,2.433958477761135
Zimbabwe,847.163,847.163,14862.927,38.42,0.0,0.0,False,-18.826139130434782,29.847134782608702,5.87174987792969,0.0,284.0,21.737931034482767
