,Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,outbreak,lat,lng,education level,national flights,international flights,Mean_Weather
101,Taiwan,25525.81,25525.81,23816.775,672.6,6.642857143,11,TRUE,24.23581852,120.7583111,30.16206932,0,5820,18.44516129
102,Tajikistan,910.982,910.982,9537.642,68.145,0,0,FALSE,38.7861875,69.5757625,22.64422035,0,8,
103,Thailand,8193.82,8193.82,69799.978,136.624,12.57142857,25,TRUE,14.08306548,101.0131357,51.37879944,3867,3928,28.98709677
104,Tunisia,3327.72,3327.72,11818.618,76.072,0,0,FALSE,35.24304444,9.960544444,34.1435318,29,301,13.47166667
105,Turkey,9683.57,9683.57,84339.067,109.584,0,0,FALSE,39.19601868,35.08348901,78.98194885,956,1098,5.319205298
106,Ukraine,3881.66,3881.66,43733.759,75.492,0,0,FALSE,48.85016078,31.66313333,80.07086182,280,830,2.135
107,United Arab Emirates,37375.27,37375.27,9890.4,118.306,4.428571429,5,FALSE,25.14805,55.5110625,19.1907692,1,3322,20.39166667
108,United Kingdom,40391.84,40391.84,67886.004,280.602,2,2,FALSE,53.14911711,-2.335505702,56.87012863,732,320,6.299503722
109,United States,67426.84,67426.84,331002.647,36.185,1.28021978,2,FALSE,38.25540916,-90.16549383,88.80857086,214291,24011,2.433958478
110,Uruguay,17818.92,17818.92,3473.727,19.848,0,0,FALSE,-33.23730909,-56.05669394,,0,242,22.46166667
111,Uzbekistan,2094.94,2094.94,33469.199,78.677,0,0,FALSE,40.69392333,66.05160667,,0,176,4.646666667
112,Venezuela,2427.5,2427.5,28435.943,32.238,0,0,FALSE,9.391986275,-67.18880196,,253,220,26.72
113,Vietnam,2954.64,2954.64,97338.583,313.925,3.538461538,8,FALSE,15.93250541,106.4925541,25.01012993,,,19.24
114,Zimbabwe,847.163,847.163,14862.927,38.42,0,0,FALSE,-18.82613913,29.84713478,5.871749878,0,284,21.73793103
